Index,TCOO,Cooling_Cost,Heating_Cost,Energy_Cost_Above_Threshold
83,24326.69,"521.78,777.61,1371.57,931.05,757.5,110.5,757.44,1106.04,128.22,734.66,1234.9,710.03,1340.58,845.39,93.53,353.52,1009.15,651.36,826.43,344.0,364.77,620.2,411.89,635.84,373.29,1165.5,120.96,1093.63,365.9,1496.58",[],7
84,21942.69,"548.11,674.38,367.79,445.7,230.37,128.69,271.56,778.42,445.7,883.33,984.18,439.55,638.4,158.39,175.11,941.53,1001.55,1025.17,304.82,1428.42,1231.28,125.62,972.25,142.15,1141.26,384.58,990.04,821.52,774.48,315.89",[],3
85,21492.99,"808.62,412.83,108.75,216.62,459.04,593.94,476.87,229.45,1126.43,518.81,204.18,1511.36,469.77,988.15,290.93,412.56,1167.22,471.05,827.42,466.75,258.28,561.05,591.26,215.86,1070.86,559.06,1042.44,134.78,1394.28,166.54",[],5
86,25527.42,"265.46,1150.62,285.54,490.61,459.37,535.96,1441.22,325.61,1562.62,1449.33,944.69,1036.88,850.69,198.97,1258.95,789.3,1392.66,225.34,1182.81,540.94,134.1,991.44,1011.71,344.97,1096.03,732.82,128.0,560.21,1029.02,960.59",[],8
87,22811.2,"706.5,808.62,612.74,857.03,691.75,328.62,587.92,319.87,911.69,95.81,1065.89,662.91,965.63,257.81,810.97,445.66,224.92,1008.16,809.04,327.32,298.57,295.4,821.52,1265.14,161.67,675.37,1155.17,816.15,259.9,1180.34",[],4
88,23185.27,"528.65,935.36,844.87,1428.42,953.03,305.39,749.98,662.77,780.82,838.55,879.93,303.03,410.27,239.83,847.75,781.48,198.41,977.75,100.1,511.58,323.08,780.05,847.38,754.79,246.0,428.43,501.73,1038.83,554.9,290.42",[],1
89,23409.77,"206.83,1403.55,1215.34,328.5,392.85,584.46,106.26,888.9,616.81,113.86,431.13,187.97,202.62,1509.59,659.36,264.39,179.89,1257.85,1361.26,755.44,729.82,913.76,1470.75,1024.66,953.93,476.57,1147.67,317.75,199.06,792.89",[],7
90,23255.87,"336.1,587.94,722.81,155.89,596.06,1386.26,506.19,338.24,93.36,109.5,805.91,257.81,1233.24,653.1,296.19,839.97,902.31,1016.6,611.07,1119.79,794.91,1012.11,964.03,372.72,823.21,1371.04,1302.19,298.77,150.75,1309.95",[],6
91,24991.7,"1027.25,359.14,1433.12,1668.79,187.59,311.12,210.8,265.36,340.0,319.16,560.01,877.04,688.67,457.82,1408.21,631.31,1441.65,1310.03,1050.05,357.09,1014.75,813.87,1496.75,643.2,665.02,196.59,899.98,827.42,611.9,656.27",[],6
92,22873.42,"903.99,213.6,155.14,167.35,677.55,857.45,441.63,420.04,681.85,1138.76,1288.68,1439.04,464.37,155.69,1142.1,274.17,1017.97,110.5,1226.05,1328.71,261.39,242.2,552.39,311.38,642.45,739.79,686.63,535.23,643.06,909.49",[],6
93,24377.42,"816.01,190.28,965.07,857.55,652.6,266.12,1422.69,443.07,433.24,635.71,225.34,515.97,1100.48,1321.2,692.02,681.44,1071.25,688.25,1037.03,830.54,123.56,446.45,779.05,1258.1,273.53,1251.12,1130.8,881.18,158.62,711.25",[],7
94,25676.78,"670.41,1288.86,720.92,982.26,1404.05,217.81,610.65,844.21,693.17,834.94,369.67,725.37,267.88,1887.15,180.94,259.45,943.01,960.66,332.16,1074.06,936.89,485.7,1256.23,412.5,1048.32,729.89,721.0,856.32,1091.42,646.82",[],6
95,24324.07,"463.26,841.79,1328.9,789.93,391.83,997.33,707.64,382.28,839.15,321.7,1301.71,290.91,1175.79,357.5,780.95,666.83,354.86,1315.86,819.6,561.78,345.59,566.3,738.08,999.66,510.69,828.56,1029.19,890.01,280.29,378.27",[],4
96,26625.17,"1327.58,584.68,947.18,97.3,1218.94,586.78,1371.49,162.81,1067.31,272.89,273.49,200.63,1368.0,243.25,427.73,1148.07,368.27,1142.07,931.47,1392.6,1065.0,1607.48,1157.93,869.67,297.94,1651.3,597.36,1046.05,1341.95,1086.97",[],14
97,23507.04,"338.98,595.87,385.81,838.55,802.41,419.39,397.66,955.64,998.67,1010.45,109.62,378.12,762.91,672.34,943.93,989.23,1117.9,845.95,573.77,385.44,962.17,1312.59,1338.34,524.17,365.67,154.36,645.95,873.9,458.56,349.07",[],3
98,23988.67,"737.96,505.11,751.01,788.15,427.08,608.9,918.95,1152.22,1093.63,579.82,1121.63,1220.38,641.23,393.09,526.51,490.13,817.88,322.79,137.45,735.06,1463.49,875.37,336.79,189.23,1264.41,506.14,451.6,661.06,579.82,218.78",[],6
